"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"tnk_11","CREM","RGCC","REL","MYADM","ATP1B3","ZNF331","TUBB4B","CSRNP1","KDM6B","EZR","PDE4B","PPP1CB","ARL4A","FOSL2","GABARAPL1","ODC1","NR4A2","UBE2S","AMD1","CD55","SAMSN1","DUSP2","NR4A3","PLK3","PIM3","STAT4","CHD1","TIPARP","NFE2L2","ADGRE5","SKIL","PDCL3","SLC7A5","DDX21","RELB","RNF125","NASP","CHMP1B","JUND","TGFB1","ANXA1","GNG2","CDKN1A","IDI1","ARL4C","TNFRSF1B","ELL2","NAMPT","NFKB2","CNOT6L"
"tnk_12","IFITM3","PSMB10","CNN2","LCP2","SLC9A3R1","SASH3","PPP1R18","POLD4","LSP1","WDR1","TBC1D10C","ZAP70","PKM","ANXA6","SYNGR2","HCLS1","IL16","SELPLG","FLT3LG","SH2D2A","PSMB9","WAS","DENND2D","CD5","DEF6","TRAF3IP3","UBE2L6","SIT1","MAT2B","NDUFV1","SKAP1","POLR2E","DDOST","AUP1","LCK","LPXN","LAT","TNIP1","OSTF1","LCP1","RHOF","PTDSS1","MAP4K1","TAP1","NUCB1","ABHD14B","TBRG1","CAPZB","UCP2","ARHGAP4"
"tnk_13","CCR7","SELL","TCF7","LEF1","CD27","KLF2","PLAC8","TXK","MAL","LDLRAP1","GIMAP4","GIMAP1","ATM","C1orf162","TRAF3IP3","TSHZ2","SNHG7","TRABD2A","DENND2D","SERINC5","PASK","RASGRP2","NDFIP1","NUCB2","PRMT2","C1QBP","RIC3","GIMAP2","ITGB2","PSIP1","IL16","SH3YL1","LITAF","BIN1","ADD3","BEX2","AIF1","POLR2J3","TMEM243","FCMR","MZT2A","KRT10","NELL2","RSL1D1","SOCS3","APEX1","ARPC1B","ACTN1","RCAN3","FOXP1"
"tnk_14","FOXP3","RTKN2","IKZF2","TBC1D4","GBP5","IL2RA","CD27","SELL","TIGIT","FCMR","SAMHD1","STAM","IL10RA","SYNE2","SLAMF1","AC133644.2","IL1R2","HPGD","TTN","USP15","RCSD1","PMAIP1","THEM4","CCM2","FANK1","BTN3A2","GBP2","TXNIP","GADD45A","TRAF3IP3","HS3ST3B1","IL1R1","GLRX","PIK3IP1","F5","ACP5","GCHFR","SKAP1","CASP1","PRDM1","NABP1","PBXIP1","HLA.DPB1","CD28","TMEM154","PIM2","IPCEF1","LAIR2","HTATIP2","SLA"
"tnk_15","CCL20","CTSH","MGAT4A","KLRB1","CCR6","ADAM19","ZEB2","PDE4D","ANKRD28","IL17A","TNFRSF25","CD6","CD40LG","RORA","MAP3K4","AHR","CXCR6","TANK","IL26","MAF","PTPN13","CAPG","TIFA","ZNRF1","AAK1","GPR65","ERN1","TMIGD2","PTPN22","ATP2B4","ARL3","BHLHE40","LIMS1","COL5A3","GNA15","OSTF1","MIS18BP1","PLIN2","NMRK1","LPIN2","MAST4","GPR183","LDLRAD4","GPRIN3","IL23R","GZMA","SYTL2","PRR5","VPS13C","SPTY2D1"
"tnk_16","MAP2K3","TNIP2","TNFRSF9","NME1","RELB","C1QBP","SMS","PIM3","FABP5","NFKB2","ZBTB32","DDX21","EBI3","FKBP2","SDF2L1","MIR155HG","TXNDC17","MRPL4","VDR","SEC11C","MFSD10","CCT7","CCT5","IL21R","SNRPD1","EIF6","MANF","CCT3","CD82","RNH1","MAP1LC3A","MRPL52","KCNN4","APEX1","ATP1B3","MRPS12","IMP4","ODC1","PSMD13","RSL1D1","GRSF1","PTMS","COX20","PRDX4","LAG3","SLC3A2","APOBEC3G","DUSP2","TIMM8B","SERPINB9"
"tnk_17","IGKC","ARID1B","MXD4","GLS","IGHA1","BCL11B","KMT2A","ANKRD11","BOD1L1","HNRNPH1","BPTF","RASGRP1","MAF","TNRC6B","KANSL1","SLFN5","NKTR","IGLC2","PHACTR2","YPEL3","UBE2S","NCK2","CD84","MDM4","ATM","ITGAL","NABP1","INTS6","PARP14","SETX","ATXN1","PRDM2","RAB21","MSI2","PRPF4B","CHD4","GLCCI1","KLF13","TFRC","GABPB1.AS1","IKZF3","ARPC4","CREBRF","IGHG4","VPS13C","CDK13","SAMD9","XIST","OTULIN","TRPS1"
"tnk_18","TYMS","STMN1","MCM7","PCNA","TK1","CDT1","ZWINT","GINS2","TMEM106C","CLSPN","HELLS","CENPM","FEN1","SMC2","DHFR","NUDT1","MCM5","ASF1B","UHRF1","RMI2","CKS1B","DNMT1","NASP","UBE2T","NUSAP1","TCF19","CENPU","E2F1","CENPH","TUBA1B","RRM2","CENPK","ATAD2","MAD2L1","RRM1","MCM4","MCM2","SLBP","MKI67","TMPO","CDC45","CDCA7","SIVA1","RPA3","SNRNP25","WDR34","CDK1","CHEK1","CCDC167","LIG1"
"tnk_19","PAICS","NOLC1","WDR43","DDX21","GNL3","GTPBP4","EXOSC5","BRIX1","MCM6","PAK1IP1","PNP","BZW2","FH","PUM3","DCAF13","APEX1","ALYREF","TRAP1","MRPS23","CTPS1","GART","DHX9","SUPT16H","NAA15","EIF4G1","ATIC","RRP15","PRDX4","PRKDC","LYAR","TARS","TOMM40","NDUFAF4","IFRD2","TFAM","TSFM","NOC3L","TWISTNB","MSH6","NOP16","IMP4","RPF2","RRP1B","EXOSC7","UCHL3","DNAJC2","MRPL4","RARS","TIPIN","TMA16"
"tnk_20","TYROBP","LYZ","GLUL","IGHA1","FCER1G","IGKC","TRIM56","GABPB1.AS1","LST1","INTS6","C1orf56","TNFSF13B","POLR2J3","ZBTB20","C1QA","TNRC6B","C1QB","MDM4","ARID1B","IGHM","GSN","IGHG1","APOE","SOX4","S100A9","ARRDC3","NHLRC3","C15orf48","SERPINB6","AIF1","CEBPB","NPHP3","IFI44L","RICTOR","SPP1","SNTB2","EGR1","CXCL8","IGLC3","TBC1D2B","RBM6","C1QC","SLC25A45","RBMS1","CD84","PCF11","JCHAIN","TRIM33","MLXIP","GALNT10"
"tnk_22","BAG3","DNAJB4","MBNL2","SESN1","RCSD1","ANKRD36B","GIMAP1","ABHD3","MXD1","IFNAR2","PRKCA","SLFN12L","RHOB","DDX58","GPR15","ERN1","GIMAP5","CCDC88C","URI1","TBC1D5","YPEL3","SERTAD2","IER5","C17orf67","TTC39C","MYLIP","MDFIC","PSIP1","GIMAP7","CDC42EP3","LRBA","HIST1H1E","MAP2K4","TRAF1","R3HDM2","RNPC3","SERINC5","HOOK2","CTCF","CTR9","POM121C","MAML2","FAM120B","PREPL","MARCH3","IGF2R","HEBP2","GOLGA8B","STIM2","SERPINH1"
