"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"b_8","JUND","UBE2S","NR4A1","GRASP","AREG","TUBB4B","CD83","ZNF331","FOSB","GNAS","NR4A2","DDX21","GADD45B","CD55","KDM6B","IER2","ELF1","IGLC2","CKS2","DDX24","AMD1","SKIL","ATP1B3","SMAP2","ALG13","SMCHD1","IDI1","CREM","UBALD2","SERTAD1","DUSP2","PMAIP1","BOD1L1","RNMT","RASGEF1B","PRPF4B","EZR","IER5","PRDM2","PDE4B","LY9","CHMP1B","NASP","IGHA2","ARL4A","TRA2B","CCNL1","REL","RBM38","CLK1"
"b_9","IL32","CCL5","CD3D","CD7","ID2","NKG7","CD3E","GZMA","CD2","HCST","CCL4","KLRB1","IL7R","TRBC2","GZMB","ANXA1","S100A4","KLRD1","CST7","FYN","CD8A","ALOX5AP","GIMAP7","EVL","CD3G","TRAC","HOPX","CD96","TNFAIP3","AAK1","CKLF","LEPROTL1","LCK","S100A11","GNLY","COTL1","POLR2J3","GPR171","CTSW","ABRACL","RGS10","PRF1","PIP4K2A","LCP2","ARL4C","LAT","CD247","CELF2","CD8B","ITGA1"
"b_10","NDUFV2","GLRX","PHPT1","MRPL52","IDH2","TMED5","TXNDC15","POMP","SRP72","SSR1","SEC61A1","NANS","GNG5","CISD2","CHPF","C11orf24","TMEM179B","MPG","SPATS2","NUDT22","MGAT1","TCEA1","SHMT2","TMEM243","NDUFS5","ST6GALNAC4","ALG5","TUFM","SIL1","NDUFA6","SEC14L1","MFF","PSMB9","IFI27L2","MEI1","GMPPB","ZBP1","LDHA","LSM7","AUP1","DBI","ARSA","DERL2","DNAJC15","SAR1B","MPC1","NCF1","RWDD1","NDUFV1","PIM2"
"b_11","PDXK","TXNL4A","RELB","BCL3","ETV6","TXNDC5","GRK6","FAM107B","SLC7A5","ADAM19","YPEL3","CLIC4","CCDC88C","IFNAR2","CMTM7","TRAPPC5","NAA10","BSCL2","BACH1","OSBPL3","PPIF","PIM1","BLNK","SLC44A1","NFKB2","EDEM1","TRIB1","IQGAP2","PTOV1","PINK1","EIF2AK3","PIK3CG","BASP1","PLCG2","CLTB","CHORDC1","ABHD3","DAPP1","GMDS","SGK1","IFNGR2","NBPF14","IFI6","SLC5A3","ATP13A1","YWHAH","NCOA3","HNRNPL","ECI1","CSNK1E"
"b_12","LAPTM5","CD52","CXCR4","PTPRC","BATF","CORO1A","TRBC2","CTLA4","UCP2","LCP1","COTL1","CD3E","TNFRSF1B","GBP5","IL32","IL2RB","SPOCK2","LTB","ARL4C","LAT","ETS1","LIMD2","GPR183","FLNA","RASGRP1","STK17A","TMEM173","CD2","CARD16","EVL","DUSP4","LCP2","SH2D2A","CD3D","LCK","IL2RA","CD69","GNG2","PHLDA1","ATP2B4","RORA","CLEC2D","SLA","MAST4","S100A4","APBB1IP","MAF","RNF213","SKAP1","MBNL1"
"b_14","PSMB10","TAF15","IL16","ITGA4","VPS13C","SASH3","EWSR1","SYK","MBNL1","TRAF3IP3","SLC38A1","HIST1H1E","MAT2B","CYFIP2","SETX","DDX6","NCOA3","RALGPS2","POLD4","RAB24","ANKRD44","SF3A1","NIPBL","RBL2","HCLS1","RCSD1","IFITM1","SSH2","ANAPC5","BLNK","PRRC2C","SLC44A2","ANXA6","TBC1D5","RBBP4","TMC8","SP110","FGD2","ARHGAP15","IKZF3","PIAS1","PLCG2","CDK5RAP3","PTPN6","PHF3","PDCD4","ATF7IP","SNRNP200","XRCC6","EML4"
"b_15","CRIP1","SSPN","SCIMP","TNFRSF13B","AIM2","CD82","S100A10","AHNAK","CD27","PDE4D","ITGB1","HIPK2","UBE2N","TRAC","TEX9","ARID5B","VIM","S100A4","GRAMD1C","CAPG","COCH","PLP2","LGALS1","CLECL1","EMP3","ATP2B1","SCPEP1","NEK6","ANXA2","TOX","NT5E","TBXAS1","HOPX","KYNU","CD86","CFLAR","S100A11","CTSH","SCML4","PYCARD","CAPN2","CPNE5","RAB31","FLNA","PAG1","MGAT4A","PTPN6","HCST","NEAT1","IGHA2"
"b_16","PTPRCAP","IER5","DNAJB1","DNAJB4","CACYBP","BAG3","RHOB","GADD45B","RGS16","MBNL2","MXD1","ZFAND2A","CHORDC1","MARCKSL1","ID3","PLK2","TNF","NFKBIZ","MYO1E","ABHD3","MARCH3","ANKRD33B","STK17A","C17orf67","CDC42EP3","MYLIP","HNRNPL","EAF2","MAPRE2","TNFAIP3","ZNF10","DDIT4","SOCS1","CITED2","ACAP2","NUDT4","SH3BP5","SERTAD1","SESN1","MAP2K4","TACC1","COTL1","IL2RG","UBE2S","NFKBIA","CLIC4","LYN","PPP1R2","FAM3C","DNAJA4"
"b_17","TCL1A","YBX3","IGHD","FCER2","IL4R","CD72","ZBTB16","BACH2","TMEM123","CLEC2B","CD200","KLF3","PLPP5","GPR18","PIK3IP1","APLP2","WDR74","CAMK2D","SATB1","RBM38","ZNF318","ARRDC2","CLEC2D","LYN","SC5D","TSPAN13","RFTN1","C1orf162","SESN1","CHPT1","SKAP1","PTGER4","AGPAT5","GRASP","CCR7","MYADM","NSMCE3","C16orf74","COL19A1","BCL7A","ITGB2","ABRACL","GNAS","STAG3","CHI3L2","ETS1","FCRL1","S1PR1","HLA.DOA","HNRNPL"
"b_18","STMN1","TYMS","RRM2","MKI67","UBE2C","NUSAP1","BIRC5","CKS1B","TK1","CDKN3","TUBA1B","TOP2A","CDK1","ZWINT","TUBB4B","CENPW","PCNA","SMC4","MYBL2","MCM7","MAD2L1","SMC2","AURKB","CKS2","CENPM","TMPO","PTTG1","UBE2S","DHFR","SIVA1","NUDT1","UBE2T","DTYMK","H2AFX","HIST1H4C","ANP32E","CCNA2","CARHSP1","CENPU","CBX5","CENPF","FEN1","SNRNP25","HMGB3","CDCA3","SKA2","RPA3","DNMT1","KPNA2","PHF19"
"b_19","SERPINA9","RGS13","LMO2","CCDC88A","KLHL6","MYO1E","SYNE2","SORL1","PAG1","FGD6","RAPGEF5","CD22","IL4R","MYBL1","CD83","DNAJC10","NEIL1","AC023590.1","SCIMP","LPP","PRPSAP2","TOX","MCTP2","BACH2","CD38","NIN","SWAP70","BCL6","SEL1L3","BCL7A","VEZT","SYVN1","RBM6","GPR18","HLA.DOB","HLA.DMB","FOS","CUX1","PLCG2","EPS15","ITSN2","CD72","REL","TACC1","NCOA3","MAP4K4","LCK","ZNF318","BRWD1","SEMA4A"
"b_20","RNASEH2A","MCM2","TIMELESS","HAUS4","MCM4","MCM6","LIG1","HIST1H2AI","MEF2B","HIST1H2AJ","CLN6","RBBP8","CTNNAL1","RFC2","GINS2","ATAD5","ATAD2","CDK2","CDC45","MSH2","CDC6","DONSON","ARL6IP6","CHAF1A","CLSPN","ACD","FANCI","PRIM2","PAGR1","COX16","RRM1","POLA1","GMPS","POLA2","ELL3","GOT2","INO80E","POLD1","DIAPH3","E2F1","NCAPD3","ASF1B","SAE1","HIST1H2AM","RBL1","TOPBP1","THOC3","PGD","UNG","CCNE2"
"b_21","PAICS","TOMM40","NOP16","GNL3","EXOSC5","NPM3","IFRD2","LYAR","ATIC","BZW2","RPF2","C20orf27","WDR43","NDUFAF4","CMSS1","NOLC1","EEF1E1","TRAP1","FARSB","RRP15","BRIX1","GTPBP4","CISD1","AIMP2","DCAF13","PUM3","SNHG15","SDF2L1","RRP1","PAK1IP1","EXOSC7","MRPS23","FAM136A","FKBP4","RRS1","TMA16","PSMG4","GAR1","FAM207A","GART","PRDX4","POLR3H","TIMM8A","RRP1B","GCSH","PDCL3","DPH2","MRPS35","GRWD1","DNPEP"
"b_22","PTPRCAP","HNRNPL","RFTN1","RBM38","POLR2J3","RCC1","TRAPPC5","PPP1R16B","ORAI1","BCL3","NOP2","TAF15","RAB22A","ZBTB1","TXNL4A","ADPRHL2","MAN2B1","CCT5","ZNF410","NIN","NCOA4","SMARCE1","RBM15B","RNF220","TLN1","CDK17","COX16","RAB5C","TFIP11","SLC25A32","CHURC1","CARD11","CBFB","VPS4A","ANKHD1","C18orf32","CDK9","B4GALT1","POM121C","NSF","SF3A1","CUL4A","PDCD2","CAPRIN1","COPB1","EIF4G1","PPRC1","NAA50","CANX","LUC7L2"
"b_23","CD3E","IL7R","IL32","CD3D","CD7","CD2","CD3G","FYN","CD96","ANXA1","LCK","SPOCK2","CD247","IFITM1","ITK","CD6","SH2D2A","PRKCH","CAMK4","PTGER4","ICOS","CST7","ZAP70","SYTL3","KLRB1","LCP2","GZMM","SKAP1","HCST","LEPROTL1","GIMAP7","PIK3IP1","LAT","PBX4","ETS1","CD28","PIK3R1","CD5","RORA","TC2N","TRAT1","SCML4","ALOX5AP","STAT4","ITM2A","EVL","OXNAD1","LTB","ARL4C","TTC39C"
"b_26","CD27","TNFRSF13B","S100A4","VIM","AIM2","CLECL1","LGALS1","CD82","VOPP1","SAMSN1","ACP5","LDHB","CTSH","ARHGAP24","PKM","ABI3","CAPG","CORO1B","PSMB9","FCRL2","POU2AF1","SSPN","ZBTB20","RGS2","IGHG2","CD44","LY86","TCF4","PLP2","ABHD14B","IGHA1","RASSF6","RILPL2","CNPY3","CTSA","MARCKS","FCRLA","PYCARD","TBC1D9","NCF4","PDCD4","GPR183","LSP1","CD1C","SIT1","KLK1","IGHA2","FAM102A","TCEA1","TXN"
"b_29","TNFRSF4","TNFRSF18","TIMP1","PAIP2B","SPINT2","ASS1","SPINK2","AMPD1","A1BG","TNFRSF13B","AP3S1","IGKV1D.39","MDK","SMOC1","ALOX5","ATF5","ZFAND1","TCEAL3","BEX2","SHMT2","BNIP3","C7orf50","IGKV1.6","IGKV1.17","AIG1","DNAJC19","IGKV1.9","LETMD1","EIF2A","CD9","IGKV1D.8","DDIT3","KDELR3","TMEM107","APEX1","ZNF581","TMEM50B","UBE2E1","TSPYL2","CTHRC1","IGKV1.39","ZFAS1","THAP7","DSTN","IGKV1.5","PSAT1","SLC1A5","TXNIP","CNPY3","PHGDH"
"b_30","IGHG1","IGHG4","IGHG3","IGHG2","PTP4A3","CXCR4","CCND2","GAS6","FAM92B","CAV1","JSRP1","SMPDL3B","GM2A","POU2F2","CPEB4","MSL3","FCGR2B","GLRX","APOL6","TSPAN13","HLA.DMA","CCDC88A","TYMP","DNAAF1","BLVRB","LTC4S","IGHGP","TXNDC17","RASSF6","FUCA2","ST6GAL1","NDUFC1","DEF8","CDKN2C","ARPC5L","TCN2","PSMB8","RNASE6","TMEM45A","SERPINI1","CHST2","GADD45A","CNDP2","NDUFAF6","MRPS31","TAPBPL","STARD5","ITGB1","BOLA3","SRA1"
"b_32","IGLC7","NME1","CNPY2","COMMD3","ALG5","PDXK","PSMA1","POMP","PSMB3","SSR1","NDUFV2","TXNL4A","PRELID1","TXNDC15","IFNAR2","CRELD2","CD38","SRP72","CHCHD10","PSMA4","CKAP4","GLRX","SLC35B1","DDOST","ERGIC2","PHPT1","IGLC3","RAN","LDHA","IDH2","TUFM","ITM2C","MRPL52","NANS","PDIA4","COX6C","SAR1B","NDUFA13","DERL2","CTSH","TIMM8B","ANXA2","PGK1","CCT8","CISD2","UQCRFS1","NDUFS5","VOPP1","SNU13","NUCB2"
"b_35","PTPRCAP","ARHGAP24","GNPTAB","LYN","ZNF107","TRAF5","TGFBR2","MGAT5","SMCHD1","AIM2","TNFRSF13B","ALOX5","RASSF6","PSIP1","COTL1","COBLL1","RCSD1","INPP5D","RIC1","FCRL2","TRIM22","SESN3","RALGPS2","PARP15","AFF3","CYBB","SSH2","SP140","ANKRD13A","HIST1H1E","TCF4","FCGR2B","SIDT1","IFNGR2","CFLAR","PTPN18","MAP3K1","SYK","CXXC5","SPOCK2","COL4A3","CHPT1","FCRL3","CLECL1","CCNH","FCRLA","VOPP1","COL9A3","SAMSN1","POU2AF1"
"b_38","SPINK2","IL6ST","TIMP1","ID3","TXNDC5","BGLAP","GAB1","SESN1","ITGA4","EVI2B","CRYBG3","GPR15","PTPRC","STRBP","YPEL3","TNFRSF13B","SMOC1","TNFRSF18","TTLL7","MDFIC","RABGAP1L","MBNL1","ALDH2","ETV6","MIA3","HOMER2","FAM107B","CADPS2","UVRAG","BCL2","HNRNPL","TARSL2","OXR1","CELF2","RUNX2","SLC44A1","PTK2B","DDX6","BTN3A2","CEP350","AMPD1","COBLL1","STT3A","ZNF217","IL2RG","IQGAP2","HEBP2","SERPINB6","FOXO3","AFF1"
"b_39","RNASE6","HLA.DRB1","NXPE3","HCST","LAX1","SAMD9L","RNF213","CCND2","TIMM8B","CEP97","HLA.DRB5","YIF1B","SASH3","ENTPD1","DEF8","CNKSR1","HPGD","HERC2","DNAJC10","ACSS1","HLA.DRA","SYK","TRAM2","NSD1","ADAM19","IBTK","SLC2A5","MED13L","FABP5","FUT8","MBTPS1","IFI30","SEC24A","BTK","EDEM1","BAK1","FASTKD1","ITPR2","HLA.DPB1","LILRB4","ARHGAP15","KIAA0040","DOCK8","SETDB2","CD52","SMC4","MAN1A1","FOXRED1","FCHSD2","GPRIN3"
"b_41","BOD1L1","ARID1B","ATM","JUND","VPS13C","SETX","ATRX","ZNF292","PHF3","BPTF","ETS1","IKZF3","ARGLU1","KMT2A","RALGPS2","ATF7IP","MBNL1","TNRC6B","GNAS","PARP14","UTRN","BCLAF1","ANKRD11","LNPEP","SMCHD1","SCAF11","PRRC2C","PRDM2","TGOLN2","PTPRC","AKAP9","MDM4","CREBRF","RNF213","TRIM44","STRBP","NCOA3","NKTR","TMPO","SETD2","CDK13","IQGAP1","TTC3","NIPBL","AKAP13","ZNF638","STAG2","GCC2","TRIM38","COBLL1"
"b_42","TNFRSF13B","DAAM1","BHLHE41","FCRL2","TLR10","TCF4","TBC1D9","FCRL4","MARCKS","ENTPD1","ZEB2","PLEKHO1","PREX1","ZDHHC21","FCRL5","VOPP1","VMP1","PRKCB","SYK","RNF213","YPEL3","PLEK","FCRL3","CLECL1","PARP14","CFLAR","UGCG","PLCG2","TESC","PDE7A","S100A11","RHOQ","CTSH","ATM","FAM107B","TFEC","BOD1L1","PRDM2","RASSF2","DOCK10","SEMA4D","AIM2","SLC4A7","SP140","WDFY4","ITGAX","FLNA","WEE1","NLRC5","DUSP4"
"b_44","MYBL1","MME","NUGGC","SUGCT","RRM2B","DTX1","TCF3","CDCA7","TUBB2A","GCSAM","SLCO3A1","BACH2","TERF2","RASSF6","CDKN2D","SGPP1","MND1","NCAPD2","AC023590.1","FADS3","GPSM2","LNPEP","TOP2B","MAP4K4","BCL7A","CENPE","S1PR2","BCL6","IFT57","PLK1","KMT2A","PIF1","CCNG2","CDC25B","PLIN3","PPP1R35","TACC3","SSBP2","SLC35E3","RMI2","VNN2","ASB13","AURKA","DAAM1","BCL11A","PAX5","LPP","OFD1","NFATC1","BLOC1S6"
"b_51","MKI67","STMN1","GGH","CENPW","PTTG1","ASPM","TROAP","NUDT1","SHCBP1","CDKN3","PHF19","FABP5","BIRC5","BUB1","HMGB3","MAD2L1","MYBL2","HIST1H3G","CENPE","HIST1H2BJ","CCND2","IFI27L1","KIF20B","TMPO","DLEU2","CENPN","CDC6","YIF1B","DTYMK","HIST1H1B","RPA3","SMC4","BOLA3","HCST","CCT5","HIST1H3B","TMEM106C","TYMS","SMC2","WDR34","GTSE1","CENPF","ARHGAP11A","TPX2","NUSAP1","SKA2","TRIP13","NASP","ANP32E","CKS1B"
"b_56","S100A11","CAPG","DUSP4","HCST","ACP5","C12orf75","ISG15","PYCARD","ENTPD1","TYMP","CTSH","CLECL1","VOPP1","TESC","ANXA2","ARPC1B","LITAF","C4orf48","ARPC4","ARPC5","MYO1F","UBE2L6","COTL1","EVI2A","IFI27L2","CAPZB","FCRL4","TAP1","PLEKHO1","CRIP1","ZDHHC12","GSN","S100A4","SRI","PRELID1","TNFRSF13B","LGALS1","ITGB2","PLGRKT","LY96","OAS1","MIR155HG","ETHE1","TXN","HMGA1","HOPX","RAB31","MCL1","CMTM7","AP1S2"
"b_57","IL7R","CD3G","CD2","TNFAIP3","ETS1","IGHG3","RORA","CD3D","AAK1","IGHG1","BCL11B","MAF","IGHG2","GPR171","VMP1","KLRB1","FKBP5","SLFN5","IGHG4","S100A4","CELF2","MBNL1","SLA","IL32","RNF213","EVL","FYN","SYNE2","LNPEP","RASSF6","TRBC2","PIK3R1","IKZF3","CD3E","GIMAP7","GPRIN3","IGHGP","ATM","GPR155","PAG1","RBL2","TP53INP1","GIMAP4","ARID1B","VPS13C","IQGAP1","IPCEF1","IL6ST","RASGRP1","GLCCI1"
"b_63","MEF2B","ELL3","BACH2","RAPGEF5","PTPRCAP","EHMT1","RCSD1","AFF3","MME","CAPN7","RASSF6","SYNE2","HIST1H1E","IL4R","MYBL1","TNFSF8","SLC2A5","NEIL1","DYNC1H1","RNF144B","TP53INP1","HIST1H2AM","ALOX5","FOXP1","INPP5D","FKBP5","CD38","CDK13","POLD4","BCL7A","SEC14L1","CRIP1","KMT2A","COL9A3","EML6","HIST1H3J","USP53","MDM2","JMJD1C","ARGLU1","SMARCA4","BRD2","ITPR1","PRDM15","HIST1H2AG","PEG10","SH3TC1","ITPR2","PHF3","SQSTM1"
"b_81","PHGR1","KRT8","LGALS4","IFI27","KRT18","TFF3","FXYD3","FABP1","AGR2","TSPAN8","C15orf48","KRT19","EPCAM","LGALS3","GPX2","PIGR","SMIM22","CLDN4","CLDN3","ELF3","S100A14","CLDN7","IFITM3","TSPAN1","S100P","TMEM54","C19orf33","CD9","CKB","LCN2","GUCA2A","MGST1","IL32","FCGBP","PHLDA2","ATP1B1","SFN","IER3","TPM1","LGALS3BP","CAMK2N1","ADIRF","ETHE1","ANXA2","KLF5","CYSTM1","PERP","LYZ","ANXA4","TMEM141"
"b_84","TYROBP","LYZ","AIF1","FCER1G","ETS2","GLUL","LST1","S100A9","CXCL8","CEBPD","IL1B","MAFB","CLEC7A","CD14","FGL2","FCGR2A","MS4A6A","S100A8","C1QA","IER3","MS4A7","PLAUR","MNDA","TMEM176A","IGSF6","CD68","SERPINA1","KCTD12","C1QB","C5AR1","ACTN1","TNFAIP2","TMEM176B","MXD1","RNF130","CTSL","C1orf162","CFD","KLF4","C1QC","HBEGF","FCGRT","SLC11A1","PLSCR1","IL13RA1","C15orf48","MPEG1","TLR2","THBS1","CSF3R"
"epi_1","NEAT1","MALAT1","ELF3","CLDN4","ZFAS1","SPINT2","JUN","SLC12A2","EPCAM","CYBA","CLDN3","GPX2","TFF3","LSM7","GSTP1","CD9","SNHG8","MARCKSL1","KRT18","ZFP36L2","S100A11","NDUFS5","PERP","SAT1","PKM","B2M","RBM39","ATP1A1","DDX5","RAN","ARL6IP4","AGR2","OAZ1","KRT8","HMGN1","IFITM3","SNU13","HNRNPK","EIF4A2","SEC61G","KRT19","FTL","FOS","FKBP2","GNAS","COX6C","TXN","SOX4","CANX","TSPO"
"epi_2","SNHG15","C20orf27","SLC52A2","TRAP1","DNAJC2","NOP16","SLC3A2","BZW2","GGCT","MRPL4","NOLC1","UCHL3","NXT1","PAICS","MYC","IFRD2","TIMM50","NELFCD","ALG3","BID","OLA1","HSD17B10","MRPS23","ATIC","CHCHD3","DCUN1D5","MRPL11","NDUFAF4","XRN2","HM13","GPRC5A","TOMM40","CKS2","MALSU1","LAGE3","POLR2E","METTL5","RUVBL2","IMP4","SRPK1","PYCR1","GTPBP4","APEX1","CCT7","GARS","MRPS12","CACYBP","PQBP1","NAA20","HACD3"
"epi_3","TSPAN1","SLC44A4","MUC13","C19orf33","ITM2C","KLF4","GSN","CEACAM5","SDCBP2","SERINC2","KLF6","PLAC8","AHNAK","C15orf48","CDKN1A","CAMK2N1","NEAT1","FAM3D","CLDN7","MISP","CLDN4","TMEM54","CDH17","CYP3A5","EZR","FXYD3","FOS","DUSP1","CLTB","PLS1","MGLL","ELF3","SPINT1","CAPN2","LRP10","ATP1B1","PIGR","SMIM22","FLNB","JUND","CKB","ZFP36","SAT1","CD164","S100A14","DSC2","MYH14","CLDN3","KRT19","CTSS"
"epi_4","PRKDC","SF3B3","CSE1L","RNF43","SUPT16H","WDR43","ZFR","PTCD3","ZC3H13","TFAM","XPO1","GTPBP4","PHF20","FAT1","RIF1","BRIX1","ACTL6A","STX16","SMG1","SNRNP200","NIP7","STAG2","NELFCD","HNF4A","PNPT1","ATIC","C8orf33","STK4","SURF6","MRPS23","CNOT1","TRMT10C","DCAF13","UTP14A","EEA1","TBRG4","TCERG1","LRRC58","USP10","CCAR1","ZDHHC9","RAE1","DHX9","LARP4","MLLT6","VAPB","TAF15","KIF3B","NOLC1","PARP4"
"epi_5","KIAA1324","ARFGEF3","GALNT7","DNAJC10","MIA3","SCNN1A","FRYL","ABLIM1","CKAP4","ATP2C2","TRIP11","NKTR","ST6GALNAC1","NUCB2","SERPINA1","PDXDC1","CMIP","CDK6","ARHGAP32","NR2F2","ZNF638","EHF","CLINT1","FOXA2","NIPBL","PDZD8","PRPF4B","PUM1","CPD","GCC2","COPB1","SMG1","GSE1","FOXP1","GPRIN3","TNPO1","TNRC6B","VPS13C","KCNQ1OT1","CD44","ACTN1","ANKRD17","ERN2","CHD7","RHOBTB3","CANT1","FNBP1L","EPHB3","ZNF292","BCLAF1"
"epi_6","FTH1","FTL","ACTB","TXN","S100A10","PHGR1","COX6C","KRT8","COX7A2","LGALS4","B2M","GSTP1","CALM2","LGALS3","KRT18","S100A11","DBI","TSPAN8","SEC61G","OAZ1","NDUFS5","CLIC1","DSTN","LDHA","POMP","FXYD3","CHCHD10","IFI27","SH3BGRL3","CSTB","GPX2","TUBA1B","HMGN1","MINOS1","RAN","ANXA2","C15orf48","H2AFZ","AGR2","ZFAS1","TSPO","FABP5","EPCAM","PRELID1","SMIM22","TMEM141","IFITM3","SRI","KRT19","LDHB"
"epi_7","CERS6","LPP","ADD3","ERBB3","TMC5","ARID1B","AKAP1","TRIM56","PTPRF","TGOLN2","GTF2I","TRIM2","VEGFA","TMEM63A","TNRC6B","FOXP1","ABCC3","SLC44A1","IQGAP1","BACE2","SOX9","FERMT1","ITGB4","SERINC5","DDR1","IRS2","ZNF703","KMT2E","ITGA6","SLC38A1","MLXIP","MIDN","DSP","BRD2","SORL1","CD44","TM9SF2","MARCH6","ATRX","CDH1","ERBB2","FAM120A","PTBP3","NORAD","TTC3","EPB41L4A.AS1","SDC1","BPTF","DSG2","TGIF1"
"epi_8","C20orf27","NPM3","EXOSC5","TRUB2","NOP16","DPCD","ITPA","LYRM4","SLC38A5","CTSH","RABEPK","TEX264","SLC35B2","RPP40","AIMP2","WDR18","CTSC","TMEM161A","AGTRAP","SFXN4","SIGMAR1","HMBS","ALDH1B1","ALG3","MFSD10","TOP1MT","IMPDH1","NIT2","PNPLA4","PDCD2L","TIMM50","WDR77","TSFM","MCAT","PEPD","RRS1","ALKBH2","QDPR","NIPSNAP1","PES1","EXOSC7","PCCB","ATIC","TRAP1","BID","MRPS22","RPUSD3","FKBP11","SDHAF3","ARSE"
"epi_9","BIRC5","CDKN3","PTTG1","CDC20","CENPW","CCNB1","UBE2C","CENPF","MKI67","CCNB2","MAD2L1","TOP2A","TROAP","TPX2","TK1","CENPN","PCLAF","ZWINT","PBK","SMC4","RRM2","DTYMK","NUSAP1","UBE2T","CCNA2","SKA2","CEP55","SMC2","MYBL2","KIF20B","FOXM1","PLK1","NUDT1","HMMR","CDCA3","UBE2S","ECT2","AURKB","NUF2","CENPA","ANP32E","CCDC34","KPNA2","CENPH","CENPM","NEK2","MIS18A","MZT1","AURKA","CENPK"
"epi_10","EEF1AKMT4","PARVB","PDCD2L","PPIL1","PSAT1","RABEPK","NPM3","NEK6","RPP40","AGMAT","VSNL1","BYSL","CCDC86","GYG1","EXOSC3","PAK1IP1","WDR77","EEF1E1","SLC38A5","LYAR","TFB2M","DPH2","SIGMAR1","RRS1","RCL1","TSFM","CD3EAP","TDGF1","FXN","C20orf27","PDSS1","SFXN4","GPT2","TRUB2","IMPDH1","COMMD8","EEF2KMT","HKDC1","INTS13","POLR3H","PPAN","ETV4","PDCD2","NDUFAF4","CTU2","PITX1","CKMT1A","ALG14","DPH5","ADK"
"epi_11","FADS2","CA9","BAG2","PCSK9","DEGS2","SLC22A18AS","FADS1","TNS4","BLVRA","CFD","GSTM4","PSAT1","ALDOC","NUDT8","WDR24","HOXB6","OXCT1","CKMT1A","CXCL11","ACADS","CDH3","MIB2","IL33","SREBF1","TRIM7","PROCR","SLC27A2","RHOF","CORO1A","BST2","SLC16A1","PCCB","SLC27A5","FBXO6","SLC16A3","PIR","TRPM2","F12","TPGS1","CCDC51","PLA2G3","MESP1","CCNO","FAS","TRIM47","ME2","MPDU1","NOXO1","P4HA1","MFSD2A"
"epi_12","DPEP1","EREG","EDN1","AREG","KRT23","PRAP1","TNNC2","QPRT","CXCL8","ASCL2","MUC3A","CXCL2","HBEGF","C10orf99","FOSL1","TRIB3","EMP1","TM4SF1","DUSP5","TNFAIP3","PMEPA1","CXCL1","CEBPA","MAFF","KRT20","BOP1","PRAC1","OLFM4","TIMP3","EPHA2","CCL20","PARD6B","PLCB4","FGGY","FAM3B","BBC3","TRIM31","RGCC","PLIN2","C6orf222","C2","GJB3","PTP4A3","UCA1","FAM118A","KLF10","SLC38A5","TPPP3","CYTOR","CSRNP1"
"epi_13","MMP7","ANXA1","TACSTD2","PLA2G16","MSLN","BMP4","LYZ","KRT7","DMKN","CRIP2","RAMP1","PHLDA3","S100A4","TM4SF1","FSCN1","KLK6","AGRN","KRT17","EPHA2","CRIP1","LGALS1","CXCL8","CMTM7","MYOF","BAIAP2","DUSP4","PRAC1","NMU","CYTOR","SLC2A1","TRIM29","SPON1","SERPINB5","KLK11","S100A2","AQP5","PMEPA1","LIF","TESC","CXCL1","AQP3","PHLDA1","KLK10","ITGB4","ITGA3","EDN1","FLNA","BOP1","SYTL1","COL17A1"
"epi_14","HBEGF","ERRFI1","MAFF","AREG","BHLHE40","CSRNP1","TRIB1","EFNB2","EPHA2","LDLR","SERTAD1","C6orf132","CDKN1A","B3GNT5","TRAF4","RND3","ARL5B","BAIAP2L1","NR4A1","TINAGL1","VEGFA","ZFAND5","ZC3H12A","ADM","CYP3A5","LAMB3","TES","TIPARP","SLC20A1","ATF3","PIM3","ZBTB43","NCOA7","PMAIP1","SLC25A25","USP53","EFNB1","TSC22D2","RHPN2","TNFRSF12A","NDRG1","SOWAHC","MAP2K3","PLK3","CEBPB","TMBIM1","PMEPA1","KDM6B","REL","RAB22A"
"epi_15","RAB20","NIT2","CCDC115","GRTP1","METTL23","MALSU1","PSMC2","UBAC2","MRPS23","CRYL1","SLC44A3","DRAM2","RFXANK","AIMP2","WDR18","OSTF1","TIMMDC1","MRPS22","SDAD1","HMOX2","PPIE","SUCLA2","RTCA","EXOSC7","ALG5","DYNC2LI1","CD82","CBR1","LACTB2","PDCL3","TAF12","COMMD8","PDHB","SNX2","TIPRL","MICU2","NMI","C1GALT1C1","CIR1","SPR","ENOPH1","EML2","POP4","ZNHIT3","CCDC90B","TBRG4","NKAP","TMEM70","UNC93B1","F12"
